Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
ABARTH,ABARTH 124,2_1,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARTH,ABARTH 500,2_2,0,0,1,2,66,717,762,545,763,882,915,766,0,0,0,0,0,0,0,0
ABARTH,ABARTH 595,2_4,2144,2866,3907,3295,3132,1612,516,491,165,0,0,0,0,0,0,0,0,0,0,0
ABARTH,ABARTH 695,2_6,45,65,270,114,29,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARTH,ABARTH PUNTO,2_9,0,0,0,0,0,0,56,75,90,120,97,172,74,0,0,0,0,0,0,0
ABARTH,ABARTH SPIDER,2_1,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACURA,ACURA TL,100_1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
AIXAM,AIXAM 500,3_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,0
AIXAM,AIXAM A751,3_4,0,0,0,0,0,0,0,0,0,0,1,4,13,10,23,13,0,0,0,0
AIXAM,AIXAM COUPE,3_5,0,0,0,0,3,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0
AIXAM,AIXAM CROSSLINE,3_1,0,0,0,6,15,16,10,20,31,69,39,50,39,38,0,0,0,0,0,0
AIXAM,AIXAM CROSSOVER,3_6,0,2,32,51,50,43,48,34,25,0,0,0,0,0,0,0,0,0,0,0
AIXAM,AIXAM MEGA,3_7,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
AIXAM,AIXAM SCOUTY,3_8,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO 147,4_1,0,0,0,0,0,0,0,0,0,0,5,268,744,652,497,473,377,466,339,140
ALFA ROMEO,ALFA ROMEO 156,4_2,0,0,0,0,0,0,0,0,0,0,0,0,6,31,21,312,383,373,286,215
ALFA ROMEO,ALFA ROMEO 159,4_4,0,3,0,0,0,0,1,0,95,517,813,1104,1218,1407,564,1,0,0,0,0
ALFA ROMEO,ALFA ROMEO 166,4_6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,53,42,28,29,35
ALFA ROMEO,ALFA ROMEO 4C,4_7,0,2,13,106,116,68,84,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO 8C,4_8,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO BRERA,4_9,0,0,0,0,0,0,0,0,0,25,103,445,548,483,503,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO GIULIA,4_10,676,1392,1427,1849,159,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
ALFA ROMEO,ALFA ROMEO GIULIETTA,4_11,524,564,834,1486,2763,3019,3206,3242,3721,6026,2084,0,0,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO GT,4_12,0,0,0,0,0,0,0,0,0,12,116,174,734,800,480,427,206,0,0,0
ALFA ROMEO,ALFA ROMEO GTV,4_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,50,73,118,143
ALFA ROMEO,ALFA ROMEO MITO,4_14,0,36,378,706,1444,1592,1734,1801,2521,3188,3977,4797,19,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO SPIDER,4_15,0,0,0,0,0,0,0,1,0,19,103,114,518,497,9,47,53,62,69,184
ALFA ROMEO,ALFA ROMEO STELVIO,4_16,679,1159,1023,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINE,ALPINE A110,101_1,102,149,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN CYGNET,6_1,0,0,0,0,0,0,12,12,45,61,4,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DB11,6_2,150,326,404,667,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DB5,6_12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DB7,6_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,163,193,234
ASTON MARTIN,ASTON MARTIN DB9,6_4,0,0,0,28,140,24,111,149,64,75,158,215,399,550,510,901,225,0,0,0
ASTON MARTIN,ASTON MARTIN DB9O,6_4,0,0,0,0,11,159,57,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DBS,6_5,202,287,52,0,0,0,0,1,100,124,149,151,75,3,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN RAPIDE,6_6,15,38,35,48,46,94,86,97,63,112,130,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN VANQUISH,6_8,0,37,140,181,134,173,88,6,0,0,0,0,3,49,24,54,6,1,1,0
ASTON MARTIN,ASTON MARTIN VANTAGE,6_9,191,688,421,243,334,310,301,278,278,241,285,417,526,753,967,90,0,0,1,0
ASTON MARTIN,ASTON MARTIN VIRAGE,6_10,0,0,0,0,0,0,0,3,94,77,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI A1,7_1,13292,19976,19038,21212,24047,22789,22709,22405,18743,16721,1451,0,0,0,0,0,0,0,0,0
AUDI,AUDI A2,7_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,2046,1877,2392,1938
AUDI,AUDI A3,7_3,15079,17396,22958,27935,34335,39145,38841,28775,26994,23030,27721,26633,24398,21098,19805,15652,8405,3665,2302,1492
AUDI,AUDI A4,7_5,8903,13013,12026,19667,23312,17375,18080,17454,15506,15958,15510,16367,21339,21935,20218,15501,13587,9607,5688,2298
AUDI,AUDI A5,7_9,5155,9572,9063,10868,7766,9925,10778,11108,10098,9864,11067,7039,4942,1468,0,0,0,0,0,0
AUDI,AUDI A6,7_11,4069,9843,8392,8973,13552,11745,11514,11637,9551,8334,8049,5368,8408,9253,5845,4082,2537,1576,1165,611
AUDI,AUDI A7,7_15,729,1572,1417,1489,2262,1982,1909,1981,1424,1848,144,0,0,0,0,0,0,0,0,0
AUDI,AUDI A8,7_16,404,758,928,572,707,835,879,777,818,913,588,472,878,748,535,552,378,174,100,92
AUDI,AUDI ALLROAD,7_17,0,0,0,0,0,0,0,0,0,1,0,225,561,632,430,0,1,0,2,0
AUDI,AUDI E-TRON,7_51,5858,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI Q2,7_18,14817,15487,14253,11645,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI Q3,7_19,12674,13987,12550,15598,16640,14277,13855,12025,6833,481,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI Q5,7_20,8364,12148,11504,9167,9620,8950,7582,5796,4881,5819,3913,4111,210,0,0,0,0,0,0,0
AUDI,AUDI Q7,7_21,3927,4606,4092,4309,4827,3282,3319,3382,2423,1883,1607,1354,2717,3952,1693,0,0,0,0,0
AUDI,AUDI Q8,7_49,933,1813,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI QUATTRO,7_22,0,0,1,0,0,0,1,1,32,387,92,0,2,1,1,0,0,2,5,6
AUDI,AUDI R8,7_23,121,131,254,298,331,192,210,203,132,243,291,261,493,263,0,0,0,0,0,0
AUDI,AUDI RIO,7_35,0,0,1,0,0,2,1,6,84,163,465,602,367,0,0,0,0,0,2,0
AUDI,AUDI RS3,7_25,312,837,1145,782,1107,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI RS4,7_26,491,249,550,3,0,429,776,476,53,0,0,1,57,1082,946,0,0,0,3,126
AUDI,AUDI RS5,7_30,162,407,37,0,2,228,323,215,69,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI RS6,7_31,663,0,200,633,649,622,446,126,0,0,55,200,218,0,0,26,132,290,38,0
AUDI,AUDI RS7,7_33,127,0,9,84,125,109,108,7,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI RSQ3,7_24,697,37,0,0,229,310,411,11,0,0,0,0,1,0,0,0,0,0,0,0
AUDI,AUDI S1,7_34,0,1,307,637,586,908,429,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI S3,7_35,1404,2705,3017,4917,4144,3787,2808,459,582,804,700,269,579,1157,89,0,2,310,500,436
AUDI,AUDI S4,7_36,676,227,1334,2016,101,416,398,384,389,486,600,374,57,226,360,429,611,188,0,29
AUDI,AUDI S5,7_39,257,85,2283,3350,764,722,422,318,261,539,601,143,575,408,0,0,0,0,0,0
AUDI,AUDI S6,7_41,84,117,151,165,117,96,79,88,61,1,28,17,41,92,100,0,4,19,31,29
AUDI,AUDI S7,7_42,66,70,7,54,68,117,50,66,34,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI S8,7_43,23,0,0,62,210,175,69,56,37,0,6,18,56,96,75,0,0,5,70,45
AUDI,AUDI SQ2,7_50,366,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI SQ5,7_44,1198,464,2046,1237,2046,2172,1775,685,0,0,0,0,0,0,0,0,0,1,0,0
AUDI,AUDI SQ7,7_45,568,170,871,1016,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI TT,7_46,178,331,1875,2856,1837,1485,3298,5973,5507,6507,6524,6208,7497,8371,3190,4047,5527,5827,5115,3606
AUDI,AUDI TTRS,7_47,145,216,334,110,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI TTS,7_48,2716,4003,1836,3992,6977,7105,590,368,133,0,1,0,0,0,0,0,0,0,0,0
BENTLEY,BENTLEY ARNAGE,10_1,0,0,0,0,0,0,0,0,1,0,5,29,40,61,73,106,90,106,134,193
BENTLEY,BENTLEY AZURE,10_2,0,0,0,0,0,0,0,0,0,1,5,10,14,28,21,0,0,11,8,12
BENTLEY,BENTLEY BENTAYGA,10_3,436,387,526,545,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTLEY,BENTLEY BROOKLANDS,10_4,0,0,0,0,0,0,0,0,0,1,3,16,28,0,0,0,0,0,0,0
BENTLEY,BENTLEY CONTINENTAL,10_5,699,835,600,619,808,774,713,683,704,517,477,403,821,1242,1033,1157,1111,14,11,10
BENTLEY,BENTLEY FLYING SPUR,10_6,26,1,56,85,126,163,187,56,0,0,0,0,0,0,0,1,0,0,0,0
BENTLEY,BENTLEY MULSANNE,10_7,29,52,38,72,110,90,81,54,56,81,18,0,0,0,0,0,0,0,0,0
BMW,BMW 1 SERIES,8_1,20764,23624,22628,27044,28879,30499,29722,36583,30517,25065,27149,24467,21738,16022,14621,12155,3541,0,0,0
BMW,BMW 2 SERIES,8_2,9408,14842,18884,15426,19046,15197,4376,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW 3 SERIES,8_5,19985,25262,25391,30716,32119,32799,34307,37365,37271,33730,32119,28532,31514,38244,29965,21106,17464,17630,13416,9056
BMW,BMW 4 SERIES,8_7,4540,10539,15716,17039,18612,18745,13042,1617,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW 5 SERIES,8_9,8801,15789,19961,15263,15781,17442,16880,15512,15918,14663,10856,9401,9940,11657,10233,7985,5534,4039,3628,2583
BMW,BMW 6 SERIES,8_11,227,1035,2288,1296,1834,2018,2077,2130,1707,667,569,645,1206,1323,1569,1457,1290,25,0,0
BMW,BMW 7 SERIES,8_14,888,1458,1374,1500,1518,745,951,795,978,985,814,661,824,766,1197,739,445,486,281,393
BMW,BMW 8 SERIES,8_49,1864,1209,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW I3,8_27,4204,4596,3491,3056,2131,1879,1205,119,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW I8,8_28,80,248,389,232,447,644,201,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW M1,8_48,3350,3921,3998,4477,2724,1498,1755,1591,318,1,0,1,0,0,0,0,0,0,0,0
BMW,BMW M2,8_29,2636,2604,3010,2807,2358,1502,974,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW M3,8_30,1583,561,855,952,777,581,238,630,746,721,623,659,1111,444,299,892,1305,1866,1188,309
BMW,BMW M4,8_31,1141,1798,2123,1925,1709,1940,996,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW M5,8_32,393,611,140,22,404,381,490,571,374,82,11,19,82,225,265,282,1,37,153,233
BMW,BMW M6,8_33,0,0,57,135,200,203,203,118,47,1,5,14,22,52,100,133,0,0,0,0
BMW,BMW X1,8_35,7396,13529,14626,13353,12247,4568,7873,7261,5601,6291,5212,464,0,0,0,0,0,0,0,1
BMW,BMW X2,8_36,3420,6918,4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW X3,8_37,7438,15773,8197,7931,8903,7001,6148,7296,7104,4370,1035,1663,2099,3331,4792,4145,3617,2,0,0
BMW,BMW X4,8_38,1830,3998,2064,2136,2690,2052,741,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW X5,8_39,5345,9055,7443,6345,6734,7306,5622,3543,4311,4405,4168,4381,3917,4410,4328,7064,4392,3655,2309,1212
BMW,BMW X6,8_41,1077,643,2114,1338,1794,1282,1404,1236,1159,809,816,1008,502,1,0,0,0,0,0,0
BMW,BMW X7,8_50,664,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,BMW Z3,8_43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,60,872,1459
BMW,BMW Z4,8_45,1428,1928,0,134,1197,1561,1884,1582,1896,1885,1953,2433,1769,3172,3025,2139,3109,2585,0,0
BMW,BMW Z8,8_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17
BRISTOL,BRISTOL FIGHTER,11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
CADILLAC,CADILLAC BLS,14_1,0,0,0,0,0,0,0,0,0,0,19,59,44,90,56,0,0,0,0,0
CADILLAC,CADILLAC CTS,14_2,0,1,0,0,1,0,0,0,3,0,8,16,9,31,29,21,0,0,0,0
CADILLAC,CADILLAC ESCALADE,14_3,0,1,5,3,6,4,0,0,2,1,4,7,3,17,2,2,8,8,8,2
CADILLAC,CADILLAC STS,14_5,0,0,0,0,0,0,0,0,0,1,2,8,8,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET AVEO,16_2,0,0,0,0,0,0,132,1475,1798,1504,1951,4605,1295,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET CAMARO,16_4,0,29,21,28,4,2,10,24,16,0,2,1,0,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET CAPTIVA,16_5,0,0,1,0,0,0,195,1146,1231,1412,2207,1058,1295,444,0,0,0,0,0,0
CHEVROLET,CHEVROLET CORVETTE,16_6,0,14,12,18,3,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET CRUZE,16_7,0,0,0,0,0,1,554,1522,1925,1382,1032,438,0,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET EPICA,16_8,0,0,0,0,0,0,0,0,0,12,7,126,53,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET KALOS,16_10,0,0,0,0,0,0,0,0,0,0,0,9,1398,1910,1252,1077,0,0,0,0
CHEVROLET,CHEVROLET LACETTI,16_11,0,0,0,0,0,1,0,0,0,139,349,1032,1130,936,782,465,0,0,0,0
CHEVROLET,CHEVROLET MATIZ,16_12,0,0,0,0,0,0,0,0,0,1,1176,5028,3630,3719,2336,1384,0,0,0,0
CHEVROLET,CHEVROLET ORLANDO,16_13,0,0,0,0,0,0,210,923,2218,1566,2,0,0,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET SPARK,16_14,0,0,0,0,0,8,880,4208,4202,4300,3871,1,0,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET TACUMA,16_16,0,0,0,0,0,0,0,0,0,1,2,13,285,447,246,208,0,0,0,0
CHEVROLET,CHEVROLET TRAX,16_18,0,0,0,1,0,1,549,1069,0,0,0,0,0,0,0,0,0,0,0,0
CHEVROLET,CHEVROLET VOLT,16_19,0,0,0,0,0,0,2,58,52,0,0,0,0,0,0,0,0,0,0,0
CHRYSLER,CHRYSLER 300,17_1,0,0,0,0,0,2,1,0,0,2,624,592,1106,1812,1510,162,0,0,0,0
CHRYSLER,CHRYSLER 300C,17_1,0,0,0,0,0,1,46,154,163,0,0,0,0,0,0,0,0,0,0,0
CHRYSLER,CHRYSLER CROSSFIRE,17_2,0,0,0,0,0,0,0,0,0,0,0,2,28,247,553,606,900,172,0,0
CHRYSLER,CHRYSLER DELTA,17_3,0,0,0,0,0,0,7,45,533,190,0,0,0,0,0,0,0,0,0,0
CHRYSLER,CHRYSLER GRAND VOYAGER,17_4,0,0,0,0,0,3,479,324,0,0,0,0,0,0,0,0,0,0,0,0
CHRYSLER,CHRYSLER NEON,17_5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,74,68,83
CHRYSLER,CHRYSLER PT CRUISER,17_7,0,0,0,0,0,0,0,0,0,0,0,2,158,969,998,828,679,613,348,278
CHRYSLER,CHRYSLER SEBRING,17_8,0,0,0,0,0,0,0,0,0,0,3,495,437,154,0,2,1,1,4,6
CHRYSLER,CHRYSLER VOYAGER,17_9,1,0,0,0,0,0,1,0,371,515,490,679,1457,1806,2545,1968,1058,804,383,296
CHRYSLER,CHRYSLER YPSILON,17_10,0,0,0,0,0,122,1322,1744,1810,280,0,0,0,0,0,0,0,0,0,0
CITROEN,CITROEN BERLINGO,18_2,1701,3485,2393,2173,3224,3354,3672,4182,4226,3289,3470,5581,3023,2671,3184,3352,3898,3382,2050,977
CITROEN,CITROEN C1,18_6,3734,5272,6950,8700,18096,17960,13565,14089,14000,14241,13849,13160,12482,9916,6788,1067,0,0,0,0
CITROEN,CITROEN C2,18_7,0,0,0,0,0,0,0,0,0,2,370,3201,3183,4173,3995,4252,3772,448,0,0
CITROEN,CITROEN C3,18_8,12166,22544,24099,19398,11003,12819,14612,14408,16345,17470,21664,12376,7871,9758,9398,9608,8685,7594,2861,1
CITROEN,CITROEN C4,18_12,3524,8814,12323,15888,25948,29255,22378,13689,10971,10606,11256,11798,17460,15454,5431,3411,115,0,0,1
CITROEN,CITROEN C5,18_15,5086,6499,22,0,103,210,246,396,472,830,1918,3385,2427,923,1080,844,999,973,772,280
CITROEN,CITROEN C6,18_16,0,0,0,0,0,0,0,0,5,3,36,81,79,147,76,3,0,0,0,0
CITROEN,CITROEN C8,18_17,0,0,0,0,0,0,1,0,0,0,47,203,350,528,510,433,287,146,1,0
CITROEN,CITROEN C-CROSSER,18_4,0,0,0,0,0,0,0,0,17,38,542,677,901,347,0,0,0,0,0,0
CITROEN,CITROEN C-ZERO,18_5,0,1,0,6,22,1,3,52,85,36,0,0,0,0,0,0,0,0,0,0
CITROEN,CITROEN DISPATCH,18_18,1,93,22,86,112,284,342,243,184,151,249,254,169,96,84,67,22,7,9,0
CITROEN,CITROEN DS3,21_1,0,0,0,0,18,8557,18543,18843,15543,10242,4662,2,0,0,0,0,0,0,0,0
CITROEN,CITROEN DS4,21_3,0,0,1,0,11,1140,2369,3903,2618,1315,0,0,0,0,0,0,0,0,0,0
CITROEN,CITROEN DS5,21_5,0,0,0,0,0,403,1093,1892,1233,2,0,0,0,0,0,0,0,0,0,0
CITROEN,CITROEN NEMO,18_25,0,0,0,0,0,0,0,13,345,562,971,1241,0,0,0,0,0,0,0,0
CITROEN,CITROEN SAXO,18_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1539,2033,2070
CITROEN,CITROEN SPACETOURER,18_27,229,717,895,419,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROEN,CITROEN SYNERGIE,18_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,131
CITROEN,CITROEN XANTIA,18_31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
CITROEN,CITROEN XSARA,18_29,0,0,0,0,0,1,0,1,0,1,1703,3538,5285,10704,12569,9813,9068,6125,4558,2902
CORVETTE,CORVETTE C6,19_1,0,0,0,0,0,0,0,0,0,0,0,6,1,10,0,4,0,0,0,0
DACIA,DACIA DUSTER,22_1,8264,14571,8538,6276,7097,5994,5944,6910,10,1,0,0,0,0,0,0,0,0,0,0
DACIA,DACIA LOGAN,22_2,794,2284,1783,2271,2824,3192,2270,462,0,0,0,0,0,0,0,0,0,0,0,0
DACIA,DACIA SANDERO,22_3,9344,12748,12542,14937,15091,15371,13608,7906,18,0,0,0,0,0,0,0,0,0,0,0
DAEWOO,DAEWOO KALOS,23_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,758,517,2,0
DAEWOO,DAEWOO LACETTI,23_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,178,0,0,0
DAEWOO,DAEWOO LANOS,23_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,87,82
DAEWOO,DAEWOO LEGANZA,23_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5
DAEWOO,DAEWOO MATIZ,23_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1050,488,395,362
DAEWOO,DAEWOO MUSSO,23_8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,20,30
DAEWOO,DAEWOO NUBIRA,23_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,23,6,15
DAEWOO,DAEWOO TACUMA,23_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,124,60,24,21
DAIHATSU,DAIHATSU CHARADE,24_2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,343,419,625,441,0,0
DAIHATSU,DAIHATSU COPEN,24_3,0,0,0,0,0,1,2,0,0,0,5,171,264,249,139,122,254,84,1,0
DAIHATSU,DAIHATSU CUORE,24_4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,71,94
DAIHATSU,DAIHATSU FOURTRAK,24_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112
DAIHATSU,DAIHATSU MATERIA,24_6,0,0,0,0,0,0,0,0,0,0,29,184,286,210,0,0,0,0,0,0
DAIHATSU,DAIHATSU SIRION,24_7,0,0,0,0,0,0,0,0,0,1,128,1048,2305,1788,1051,1059,175,216,228,142
DAIHATSU,DAIHATSU TERIOS,24_8,0,0,0,0,0,0,0,1,1,0,19,641,923,1326,927,639,369,357,203,128
DAIHATSU,DAIHATSU YRV,24_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,85,100,105
DODGE,DODGE AVENGER,26_1,0,0,0,0,0,0,0,0,0,0,0,133,353,64,0,0,0,0,0,0
DODGE,DODGE CALIBER,26_2,0,0,0,0,0,0,0,0,0,0,0,294,791,1015,748,0,0,0,0,0
DODGE,DODGE JOURNEY,26_5,1,4,4,1,0,1,0,1,0,0,584,613,87,0,0,0,0,0,0,0
DODGE,DODGE NITRO,26_6,0,0,0,0,0,0,0,0,0,1,0,640,885,285,0,0,0,0,0,0
DS,DS DS3,21_1,1738,2168,3173,6911,11872,6776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS,DS DS4,21_3,0,2,386,990,2355,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS,DS DS5,21_5,0,5,122,272,574,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS,DS DS7,21_6,581,1457,913,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERRARI,FERRARI 360,27_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,103,105,85
FERRARI,FERRARI 430,27_3,0,0,0,0,0,0,0,0,0,0,2,21,18,0,0,0,0,0,0,0
FERRARI,FERRARI 458,27_6,0,0,1,1,5,180,216,290,224,115,44,0,0,0,0,0,0,0,0,0
FERRARI,FERRARI 488,27_7,261,274,387,356,236,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERRARI,FERRARI 575M,27_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,40,20,0
FERRARI,FERRARI 599,27_10,0,0,0,0,0,0,0,1,6,29,30,29,68,57,13,0,0,0,0,0
FERRARI,FERRARI 612,27_11,0,0,0,0,0,0,0,0,0,0,3,7,27,19,29,56,25,0,0,0
FERRARI,FERRARI CALIFORNIA,27_13,0,0,8,123,206,222,108,86,116,131,174,128,0,0,0,0,0,0,0,0
FERRARI,FERRARI F430,27_18,0,0,0,0,0,0,0,0,0,0,1,47,135,193,174,156,0,0,0,0
FERRARI,FERRARI FF,27_19,0,0,0,0,18,26,37,27,68,17,0,0,0,0,0,0,0,0,0,0
FERRARI,FERRARI LAFERRARI,27_21,0,1,1,5,7,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0
FERRARI,FERRARI PORTOFINO,27_23,207,275,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT,FIAT 124,28_1,0,15,1231,776,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT,FIAT 500,28_2,13198,20425,24220,28129,47643,48914,49591,41336,29842,21944,22739,21268,12141,160,0,0,0,0,0,0
FIAT,FIAT 500L,28_4,217,417,674,195,2,55,149,1,0,0,0,0,0,0,0,0,0,0,0,0
